2018-07-25T13:45:49 join attempt | Thouvvv tried joining while banned
2018-07-25T13:46:12 join attempt | Thouvvv tried joining while banned
2018-07-25T13:47:02 join attempt | Thouvvv tried joining while banned
2018-07-25T13:47:13 join | Thouvvv joined
2018-07-25T13:47:24 quit | Thouvvv quit
2018-07-26T06:05:19 join | Thouvvv joined
2018-07-26T06:05:32 quit | Thouvvv quit
2018-07-26T06:06:05 join attempt | Thouvvv tried joining while banned
2018-07-26T06:06:19 join | Thouvvv joined
2018-07-26T06:07:05 chat attempt | [MUTED] Thouvvv: %message
2018-07-26T06:09:31 join | Thouvvv joined
2018-07-26T06:09:52 chat attempt | [MUTED] Thouvvv: %message
